Amenity,Count
 First aid kitCoffee maker drip coffee maker,1
 First aid kitRiver view,1
 Hair Conditioner conditioner,1
 Body Wash body soap,1
 Game console Nintendo Wii and Xbox One,1
 Shared outdoor kitchen,1
 Norway Lysere Nourishing Shampoo shampoo,1
 First aid kitAC  split type ductless system,1
 Free washer u In building,1
 sold as a baby product  A great body wash for all ages  Soap is in wall mounted pump dispensers in both showers body soap,1
 AEG stainless steel electric stove,1
 Refrigerator with freezer  refrigerator,1
 Private pool  available seasonally,1
 Baby monitor  available upon request,1
 Dr Bronners body soap,1
 White oven,1
 White refrigerator,1
 PoolBarbecue utensils,1
 Laundromat nearbyDove  shampoo,1
 Pert conditioner,1
 gentle,1
 Outdoor furnitureBarbecue utensils,1
 We have a generic store brand of baby head to toe body wash  Low to no fragrance,1
 Convection toaster oven stainless steel oven,1
 Monster Bluetooth sound system,1
 Clairol Herbal Essence conditioner,1
 Private backyard u Not fully fencedChildrenus books and toys for ages  years old,1
 Whirlpool  stove,1
 Whirlpool  refrigerator,1
 Whirlpool  oven,1
 Bergmn kelly body soap,1
 First aid kitBose sound system,1
 Nivea shampoo,1
 Nivea body soap,1
 BreakfastEssentials,1
 Leverothers body soap,1
 First aid kitCoffee maker french press,1
 Coffee makerHeating,1
 First aid kitPatio or balcony,1
 Window AC unitBeach access u Beachfront,1
 First aid kitClothing storage closet,1
 Paid washer u In buildingBarbecue utensils,1
 Private backyard u Not fully fencedSamsung sound system with Bluetooth and aux,1
 Laundromat nearbyChildrenus books and toys for ages  years old,1
 GE stainless steel stove,1
 Mini fridge refrigerator,1
 Skiinskiout u Near ski lifts,1
 Countertop elements provided for cooking on stove,1
 RokuSpotify account sound system,1
 Hot plate induction stove,1
 Two ring portable electric stove,1
 Different brands shampoo,1
 Different brands conditioner,1
 Kenmore stove,1
 MicrowaveDifferent brands body soap,1
 RCA sound system,1
 ZestDial body soap,1
 Brand stainless steel ovenBarbecue utensils,1
 Laundromat nearbyKenmore stove,1
 DANBY refrigerator,1
 Fire pitFree street parking,1
 Free residential garage on premises,1
 MicrowaveShared backyard,1
 Backyard  Fully fenced,1
 Stainless steel  refrigerator,1
 Small oven  oven,1
 Varies  conditioner,1
 Variety  body soap,1
 Varies shampoo,1
 Coffee maker Keurig coffee machineDryer,1
 Panasonic oven,1
 Panasonic refrigerator,1
 KitchenAid Countertop Oven  Air Fryer stainless steel oven,1
 Maytag with freezer on top of fridge refrigerator,1
 Bed linensChildrenus books and toys for ages  years old,1
 Indoor fireplaceClothing storage closet and dresser,1
 Samsung  refrigerator,1
 Laundromat nearbyCoffee maker drip coffee maker,1
 Dedicated workspaceBarbecue utensils,1
 Private backyard u Not fully fencedFree parking on premises u  space,1
 Private entranceDishwasher,1
 Indoor fireplaceDryer,1
 Fire pit HDTV with Roku,1
 JennAir oven,1
 Tresseme conditioner,1
Barbecue utensils,1
 Herbal Essence shampoo,1
 Cooking basicsBarbecue utensils,1
 PS,1
 Microwave HDTV with Fire TV,1
 Alexa sound system,1
 Various  body soap,1
 Baking sheetFree washer u In unit,1
 Laundromat nearbyEssentials,1
 purfum free body soap,1
 Equate,1
 Luseta  conditioner,1
 Luseta biotin BComplex shampoo,1
 Baby safety gatesBarbecue utensils,1
 Fire pitAC  split type ductless system,1
 Security cameras on propertyAC  split type ductless system,1
 Private backyard u Not fully fencedCarbon monoxide alarm,1
 Kenmore  oven,1
 Kenmore  stove,1
 Jbl Bluetooth sound system,1
 Pharmacie shampoo,1
 Plugin induction cooktop induction stove,1
 Harman Karden sound system with Bluetooth and aux,1
 Apartment sized refrigerator,1
 and PS,1
 Fire pitCeiling fan,1
 Woods stove top  with Mini Fridge electric stove,1
 Coffee makerCleaning products,1
 Fire pitEssentials,1
 Out door Acoustic Research bluetooth speaker Bluetooth sound system,1
 Body Shop body soap,1
 Fridgedair  refrigerator,1
 Laundromat nearbyBuilding staff,1
 Childrenus books and toys for ages  years old and  years oldBarbecue utensils,1
 Portable indoor outdoor  hour battery life Bluetooth sound system,1
  TV with Disney,1
 Samsung stainless steel stove,1
 Body wash and hand soap body soap,1
 Conditioner conditioner,1
 Counter top  rings induction stove,1
 Changing table  always at the listing,1
 Golf course view,1
 Whirlpool stainless steel gas stove,1
 Laundromat nearbyStandalone high chair  available upon request,1
 Washer uuaIn unit,1
 MicrowaveBeach access u Beachfront,1
 Top freezer compartment refrigerator,1
 Locally handcrafted  body soap,1
  TV with Fire TV,1
 Indoor fireplaceCleaning products,1
 GE gas stove,1
 Private entranceDryer,1
 MicrowaveChildrenus books and toys for ages  years old,1
 Baby bath  always at the listing,1
 LG induction  oven,1
 LG French Door refrigerator,1
 Dryer u In buildingDishwasher,1
 Pharmacopia Verbena shampoo,1
 Rustik Soap Co  locally made by hand in Fredericton wwwrustiksoapcocom body soap,1
 Pharmacopia Verbena conditioner,1
 Sony Speaker Provided  Bluetooth sound system,1
 LG stainless steel induction stove,1
  Viking Fridge with a  full length fridge and a  full length freezer refrigerator,1
 the other oven   stainless steel oven,1
  Viking stove has  ovens the main oven is  ,1
 Viking stainless steel gas stove,1
 High chair  always at the listing,1
 FridgedAir stainless steel oven,1
 Outdoor kitchen with oven,1
 Kitchenaid single oven,1
 MayTag stainless steel oven,1
 Samsung electric stove,1
 OIUtdoor Blue Tooth Speaker Bluetooth sound system,1
 ZLINE gas stove,1
 HDTV with DVD player,1
 Joyce or Pantene conditioner,1
 Jason body soap,1
 Window AC unitDryer,1
 Marc Anthony Argan Oil Hydrathing Shampoo shampoo,1
 Marc Anthony Argan Oil Hydrating Conditioner conditioner,1
 Aveeno Stress Relief body soap,1
 Private gym,1
 Google home sound system,1
 Fridgedair oven,1
 Fire pitStandalone high chair  available upon request,1
 Indoor fireplace gasBarbecue utensils,1
 Fire pitDryer,1
 Bluetooth portable sound player Bluetooth sound system,1
 Gas oven,1
 Pump soap body soap,1
 HDTV with Chromecast,1
 Tea Tree conditioner,1
 LG stainless steel electric stove,1
 Tea Tree shampoo,1
 House of Marley Bluetooth sound system,1
 ConditionerBarbecue utensils,1
 Private backyard u Not fully fencedCooking basics,1
 Private backyard u Not fully fencedOcean view,1
 Matrix shampoo,1
 Matrix conditioner,1
 Suave conditioner,1
 Apartment size stove,1
 LG electric stove,1
 LG oven,1
 Polk Bluetooth sound system,1
 Maytag refrigerator,1
 Sonos sound system with Bluetooth and aux,1
 Dove body wash body soap,1
 Shared sauna,1
  TV with Chromecast,1
 AEG electric stove,1
 KitchenDishwasher,1
 Fire pitBuilding staff,1
 Bose sound system with aux,1
 Shared BBQ grill woodburning,1
 Ivory  body soap,1
 Oneka body soapKitchen,1
 Oneka  shampoo,1
 Oneka conditioner,1
 Baking sheetDishwasher,1
 Security cameras on propertyEssentials,1
 Security cameras on propertyDryer,1
 First aid kit HDTV with Netflix,1
 Sonos Move Portable Smart Speaker Bluetooth sound system,1
 LG  stainless steel oven,1
 Black  Decker Convection Toaster Oven stainless steel oven,1
 Arbonne body soap,1
 Kenmore stainless steel double oven,1
 Sonos sound system,1
 Samsung stainless steel gas stove,1
 Fire pitIron,1
 Cooking basicsChildrenus books and toys for ages  years old,1
 Whirlpool  stainless steel induction stove,1
 Whirlpool  stainless steel oven,1
 Frigidaire single oven,1
 Shared BBQ grill charcoal,1
 Cooking basicsEssentials,1
 Master Chef single burner induction plate induction stove,1
 Free residential garage on premises u  spaces,1
 Fire pit TV with Chromecast,1
 Coffee maker Keurig coffee machineClothing storage closet and dresser,1
 ZLINE stainless steel electric stove,1
 IKEA stainless steel oven,1
 Clamp on table seat high chair  available upon request,1
  electric  burner  electric stove,1
 Coffee maker Keurig coffee machineHeating,1
 Private backyard u Not fully fencedBuilding staff,1
 Laundromat nearbyDishes and silverware,1
 Apartment size refrigerator,1
 Frigidaire,1
 Smoke alarmDishwasher,1
 Olay body soap,1
 Herbal Essences conditioner,1
  inch glass range with Oven single oven,1
 Various  conditioner,1
 Private entranceBarbecue utensils,1
 GE stove,1
 GE oven,1
 Generic body soap,1
 Generic conditioner,1
 Pure fragrance free body soap,1
 Random selection body soap,1
 Random selection conditioner,1
 First aid kitRefrigerator,1
 Victrola sound system with Bluetooth and aux,1
 Softsoap body soap,1
 Dove,1
  TVFree washer u In building,1
 Samsung Bluetooth sound system,1
 Suave shampoo,1
 convection stainless steel oven,1
 air fry,1
 Herbal Essences shampoo,1
 Whirlpool single oven,1
 Induction induction stove,1
 Coffee makerWifi,1
 Laundromat nearbyPrivate hot tub  available all year,1
 MicrowaveClothing storage closet and dresser,1
 Clamp on table seat high chair,1
 espresso machine,1
 Free residential garage on premises u  space,1
 Samsung stainless steel single oven,1
 Oil of Olay body soap,1
 Sonos  Bluetooth sound system,1
 Fire pitHeating,1
 MicrowaveHeating,1
 First aid kitKenmore stainless steel electric stove,1
 Stainless steel double oven,1
 Smoke alarmBarbecue utensils,1
 Private backyard u Not fully fencedWifi,1
 First aid kitHDTV with Amazon Prime Video,1
 Bose  Bluetooth sound system,1
 Cooking basicsCleaning products,1
 Indoor fireplace woodburningPets allowed,1
 Dedicated workspaceDishwasher,1
 Freezer listed is the fridge freezer refrigerator,1
 First aid kitCooking basics,1
